"category","sku","total_units_sold","total_revenue","rank"
"1195","1195","26290","26290","1"
"1250","1250","15000","15000","1"
"1365","1523","1365","1365","1"
"1395","1395","16740","16740","1"
"1523","1523","1365","1365","1"
"1595","1595","272745","272745","1"
"1595","1538","68585","68585","2"
"1695","1695","537125","537125","1"
"1695","2240","5085","5085","2"
"1795","1795","245825","245825","1"
"1895","1895","587260","587260","1"
"1895","1778","68220","68220","2"
"1895","254","1895","1895","3"
"199","199","398","398","1"
"1995","1995","306535","306535","1"
"1995","1878","25935","25935","2"
"1995","1795","8975","8975","3"
"2050","2050","24600","24600","1"
"2095","2095","101760","101760","1"
"2097","2097","75492","75492","1"
"2150","2150","77400","77400","1"
"2195","2195","285350","285350","1"
"2195","2038","79020","79020","2"
"2195","2098","26340","26340","3"
"2197","2197","26364","26364","1"
"2250","2250","27000","27000","1"
"2295","2295","263925","263925","1"
"2295","2178","110160","110160","2"
"2295","2298","43605","43605","3"
"2295","2138","27540","27540","4"
"2395","2395","174740","174740","1"
"2395","2298","43110","43110","2"
"2395","2138","26345","26345","3"
"2395","2238","14370","14370","4"
"2395","2210","2295","2295","5"
"2397","2397","28764","28764","1"
"2449","2449","14694","14694","1"
"2494","2494","79808","79808","1"
"2495","2495","346110","346110","1"
"2495","2378","119760","119760","2"
"2495","2398","14970","14970","3"
"254","1895","1895","1895","1"
"2595","2595","31140","31140","1"
"2695","2695","97020","97020","1"
"2795","2795","195650","195650","1"
"2795","2678","16770","16770","2"
"2975","2975","35700","35700","1"
"299","299","1794","1794","1"
"2995","2795","67080","67080","1"
"2995","2878","17970","17970","2"
